Plant Code,State,County,Generator ID,Technology,Prime Mover,Nameplate Capacity (MW),Status,Operating Year,Planned Retirement Year,Energy Source,Fuel Category
56135.0,CA,San Joaquin,2,Natural Gas Fired Combustion Turbine,GT,60.5,OP,2006.0, ,NG,Gas
56143.0,CA,Riverside,1,Natural Gas Fired Combustion Turbine,GT,50.0,OP,2006.0, ,NG,Gas
56143.0,CA,Riverside,2,Natural Gas Fired Combustion Turbine,GT,50.0,OP,2006.0, ,NG,Gas
56143.0,CA,Riverside,3,Natural Gas Fired Combustion Turbine,GT,48.0,OP,2011.0, ,NG,Gas
56143.0,CA,Riverside,4,Natural Gas Fired Combustion Turbine,GT,48.0,OP,2011.0, ,NG,Gas
56150.0,GA,Effingham,10ST,Natural Gas Fired Combined Cycle,CA,281.9,OP,2005.0, ,NG,Gas
56150.0,GA,Effingham,11ST,Natural Gas Fired Combined Cycle,CA,281.9,OP,2005.0, ,NG,Gas
56150.0,GA,Effingham,C10A,Natural Gas Fired Combined Cycle,CT,203.2,OP,2005.0, ,NG,Gas
56150.0,GA,Effingham,C10B,Natural Gas Fired Combined Cycle,CT,203.2,OP,2005.0, ,NG,Gas
56150.0,GA,Effingham,C11A,Natural Gas Fired Combined Cycle,CT,203.2,OP,2005.0, ,NG,Gas
56150.0,GA,Effingham,C11B,Natural Gas Fired Combined Cycle,CT,203.2,OP,2005.0, ,NG,Gas
56151.0,MO,Cass,GT1,Natural Gas Fired Combustion Turbine,GT,117.0,OP,2005.0, ,NG,Gas
56151.0,MO,Cass,GT2,Natural Gas Fired Combustion Turbine,GT,117.0,OP,2005.0, ,NG,Gas
56151.0,MO,Cass,GT3,Natural Gas Fired Combustion Turbine,GT,117.0,OP,2005.0, ,NG,Gas
56164.0,MN,Rice,EU01,Natural Gas Fired Combined Cycle,CT,212.5,OP,2005.0, ,NG,Gas
56164.0,MN,Rice,HRSG,Natural Gas Fired Combined Cycle,CA,122.0,OP,2007.0, ,NG,Gas
56166.0,WI,Sheboygan,1,Natural Gas Fired Combustion Turbine,GT,173.4,OP,2005.0, ,NG,Gas
56166.0,WI,Sheboygan,2,Natural Gas Fired Combustion Turbine,GT,173.4,OP,2005.0, ,NG,Gas
56177.0,UT,Utah,GT1,Natural Gas Fired Combined Cycle,CT,65.0,OP,2004.0, ,NG,Gas
56177.0,UT,Utah,ST1,Natural Gas Fired Combined Cycle,CA,75.0,OP,2004.0, ,NG,Gas
56188.0,NY,Suffolk,CTG,Natural Gas Fired Combined Cycle,CT,50.0,OP,2005.0, ,NG,Gas
56188.0,NY,Suffolk,STG,Natural Gas Fired Combined Cycle,CA,32.0,OP,2005.0, ,NG,Gas
56196.0,NY,Queens,CA01,Natural Gas Fired Combined Cycle,CA,188.0,OP,2005.0, ,NG,Gas
