facility_id,site_name,state,latitude,longitude,annual_generation_mwh,original_fuel,new_technology,abatement_cost,NOx,SOx,PM2_5,VOC,NH3,CO2,transition,height,diam,temp,velocity
55089,Plant 55089,LA,29.9888,-90.4599,3861354.67,Gas,NGCC,-128.14623278813036,424.74901370000003,38.6135467,38.6135467,77.2270934,38.6135467,1428701.2279,Gas to NGCC,50.0,5.0,400.0,20.0
55101,Plant 55101,MI,42.281345,-85.494956,188487.02,Gas,NGCC,54.92982887725975,20.7335722,1.8848702,1.8848702,3.7697404,1.8848702,69740.19739999999,Gas to NGCC,50.0,5.0,400.0,20.0
55103,Plant 55103,OR,42.173889,-121.810556,2986868.27,Gas,NGCC,-10.342366671133416,328.5555097,29.868682700000004,29.868682700000004,59.73736540000001,29.868682700000004,1105141.2599,Gas to NGCC,50.0,5.0,400.0,20.0
55107,Plant 55107,RI,41.8017,-71.5186,3680824.15,Gas,NGCC,-33.56181737515806,404.8906565,36.8082415,36.8082415,73.616483,36.8082415,1361904.9355,Gas to NGCC,50.0,5.0,400.0,20.0
55117,Plant 55117,LA,30.221,-93.2826,2168028.74,Gas,NGCC,-95.6296911269928,238.48316140000003,21.680287400000005,21.680287400000005,43.36057480000001,21.680287400000005,802170.6338000001,Gas to NGCC,50.0,5.0,400.0,20.0
55124,Plant 55124,AZ,35.054029,-114.133272,3774421.06,Gas,NGCC,-100.459424779943,415.1863166,37.7442106,37.7442106,75.4884212,37.7442106,1396535.7922,Gas to NGCC,50.0,5.0,400.0,20.0
55127,Plant 55127,CO,40.217143,-103.68504,359995.89,Gas,NGCC,-282.90856886405663,39.599547900000005,3.5999589000000003,3.5999589000000003,7.199917800000001,3.5999589000000003,133198.4793,Gas to NGCC,50.0,5.0,400.0,20.0
55135,Plant 55135,WI,44.1936,-88.5064,612717.6,Gas,NGCC,-138.2498553310668,67.398936,6.127176,6.127176,12.254352,6.127176,226705.512,Gas to NGCC,50.0,5.0,400.0,20.0
55139,Plant 55139,TX,32.33422,-97.731686,3221166.35,Gas,NGCC,-698.6758643834617,354.3282985,32.2116635,32.2116635,64.423327,32.2116635,1191831.5495,Gas to NGCC,50.0,5.0,400.0,20.0
55141,Plant 55141,GA,33.358472,-84.991391,570466.1,Gas,NGCC,-461.7893018338871,62.751271,5.704661000000001,5.704661000000001,11.409322000000001,5.704661000000001,211072.457,Gas to NGCC,50.0,5.0,400.0,20.0
55144,Plant 55144,TX,29.7806,-97.9894,4802960.88,Gas,NGCC,-534.4547298866569,528.3256968000001,48.029608800000005,48.029608800000005,96.05921760000001,48.029608800000005,1777095.5256,Gas to NGCC,50.0,5.0,400.0,20.0
